Time(ms),X(mG),Y(mG),Z(mG),Classification
,-3464,824,3920,Jumping Jacks
,-2184,1008,3304,Jumping Jacks
,-1392,1768,3920,Jumping Jacks
,-856,2920,4072,Jumping Jacks
,-680,3504,4080,Jumping Jacks
,-1200,3640,4064,Jumping Jacks
,-1616,3176,3024,Jumping Jacks
,-1576,2328,2056,Jumping Jacks
,-1552,1640,1664,Jumping Jacks
,-1776,1384,1776,Jumping Jacks
,-2128,1544,2368,Jumping Jacks
,-2456,1528,2672,Jumping Jacks
,-2568,1456,1928,Jumping Jacks
,-2368,1064,480,Jumping Jacks
,-2120,304,-1688,Jumping Jacks
,-2688,-704,-3192,Jumping Jacks
,-2976,-2096,-2368,Jumping Jacks
,-3320,-2560,-1320,Jumping Jacks
,-3696,-1488,1592,Jumping Jacks
,-3888,-336,3920,Jumping Jacks
,-3904,712,4080,Jumping Jacks
,-3472,552,3816,Jumping Jacks
,-3048,600,2912,Jumping Jacks
,-2376,856,2536,Jumping Jacks
,-1568,968,2688,Jumping Jacks
,-936,2184,3408,Jumping Jacks
,-1488,3128,4080,Jumping Jacks
,-1872,3608,4080,Jumping Jacks
,-1960,3072,3608,Jumping Jacks
,-1776,2304,2544,Jumping Jacks
,-1640,1632,1736,Jumping Jacks
,-1680,1112,1640,Jumping Jacks
,-1880,1048,2064,Jumping Jacks
,-2104,1128,2152,Jumping Jacks
,-2080,984,2144,Jumping Jacks
,-1912,784,1760,Jumping Jacks
,-1672,736,336,Jumping Jacks
,-1712,312,-1424,Jumping Jacks
,-2144,-568,-3800,Jumping Jacks
,-2496,-1440,-4000,Jumping Jacks
,-3016,-1872,-1800,Jumping Jacks
,-3392,-1072,1216,Jumping Jacks
,-3664,248,3712,Jumping Jacks
,-3528,992,4080,Jumping Jacks
,-3088,1120,3416,Jumping Jacks
,-2648,992,2712,Jumping Jacks
,-2232,1024,2776,Jumping Jacks
,-1472,1104,2896,Jumping Jacks
,-384,2032,3440,Jumping Jacks
,-808,3056,3664,Jumping Jacks
,-2200,3568,3712,Jumping Jacks
,-2064,3536,2816,Jumping Jacks
,-1368,2768,2272,Jumping Jacks
,-1168,2104,1736,Jumping Jacks
,-1784,1792,2112,Jumping Jacks
,-2480,1640,2880,Jumping Jacks
,-3144,1528,3064,Jumping Jacks
,-3352,1336,2800,Jumping Jacks
,-3216,1024,2240,Jumping Jacks
,-2848,640,424,Jumping Jacks
,-2848,-472,-3048,Jumping Jacks
,-3152,-1952,-4080,Jumping Jacks
,-3328,-2512,-3552,Jumping Jacks
,-3704,-1608,368,Jumping Jacks
,-3888,-352,1672,Jumping Jacks
,-3952,600,3216,Jumping Jacks
,-3832,936,3808,Jumping Jacks
,-3280,848,2976,Jumping Jacks
,-2672,512,2424,Jumping Jacks
,-1896,320,2112,Jumping Jacks
,-1352,760,2536,Jumping Jacks
,-856,1984,3368,Jumping Jacks
,-1296,3032,4080,Jumping Jacks
,-1888,3552,4080,Jumping Jacks
,-1880,3048,3480,Jumping Jacks
,-1488,2480,2088,Jumping Jacks
,-1672,1808,1664,Jumping Jacks
,-2104,1400,1720,Jumping Jacks
,-2520,1440,2272,Jumping Jacks
,-2904,1392,2816,Jumping Jacks
,-2904,1304,2240,Jumping Jacks
,-2816,1152,1584,Jumping Jacks
,-2616,672,-1000,Jumping Jacks
,-3208,-368,-3096,Jumping Jacks
,-3592,-2224,-2848,Jumping Jacks
,-3232,-2600,-1976,Jumping Jacks
,-3584,-1632,256,Jumping Jacks
,-3832,-144,3584,Jumping Jacks
,-3888,896,3920,Jumping Jacks
,-3512,1064,4072,Jumping Jacks
,-2960,872,2904,Jumping Jacks
,-2208,1232,2216,Jumping Jacks
,-1288,864,2736,Jumping Jacks
,-1168,1992,3536,Jumping Jacks
,-1800,2824,4080,Jumping Jacks
,-1656,3040,4080,Jumping Jacks
,-1336,2592,3920,Jumping Jacks
,-864,1864,2560,Jumping Jacks
,-1200,1360,2080,Jumping Jacks
,-1840,1080,2000,Jumping Jacks
,-2296,1008,2552,Jumping Jacks
,-2520,1032,2528,Jumping Jacks
,-2592,976,2120,Jumping Jacks
,-2336,784,1288,Jumping Jacks
,-1832,480,-816,Jumping Jacks
,-2200,-760,-2928,Jumping Jacks
,-2272,-1656,-4080,Jumping Jacks
,-2656,-2336,-3088,Jumping Jacks
,-3168,-1632,48,Jumping Jacks
,-3624,-352,2616,Jumping Jacks
,-3792,624,3760,Jumping Jacks
,-3448,1000,3920,Jumping Jacks
,-2904,968,2912,Jumping Jacks
,-2496,1024,2656,Jumping Jacks
,-1696,984,2616,Jumping Jacks
,-776,1448,2872,Jumping Jacks
,-32,2520,3440,Jumping Jacks
,-568,3304,4080,Jumping Jacks
,-1424,3544,4080,Jumping Jacks
,-1752,3016,3560,Jumping Jacks
,-1592,2296,2320,Jumping Jacks
,-1456,1608,1832,Jumping Jacks
