Time (s),X(mG),Y(mG),Z(mG),Classification
27.76,904,208,48,Walking
27.8,808,272,56,Walking
27.84,760,368,-136,Walking
27.88,720,456,-272,Walking
27.92,704,464,-304,Walking
27.96,680,496,-304,Walking
28,688,504,-400,Walking
28.04,688,528,-320,Walking
28.08,712,552,-248,Walking
28.12,760,552,-192,Walking
28.16,824,536,-104,Walking
28.2,912,512,-24,Walking
28.24,944,472,24,Walking
28.28,976,464,40,Walking
28.32,880,448,8,Walking
28.36,848,416,40,Walking
28.4,856,328,96,Walking
28.44,976,248,168,Walking
28.48,976,264,216,Walking
28.52,976,344,104,Walking
28.56,904,416,-24,Walking
28.6,832,432,-88,Walking
28.64,808,416,-168,Walking
28.68,864,384,-256,Walking
28.72,888,352,-328,Walking
28.76,904,392,-360,Walking
28.8,904,456,-416,Walking
28.84,952,456,-376,Walking
28.88,984,392,-344,Walking
28.92,1016,360,-320,Walking
28.96,1064,376,-304,Walking
29,1192,384,-248,Walking
29.04,1232,336,-128,Walking
29.08,1128,288,-80,Walking
29.12,1024,272,-56,Walking
29.16,952,320,-32,Walking
29.2,1000,360,-8,Walking
29.24,928,336,24,Walking
29.28,912,320,-96,Walking
29.32,808,312,-32,Walking
29.36,728,352,-88,Walking
29.4,680,376,-88,Walking
29.44,680,352,-104,Walking
29.48,736,320,-128,Walking
29.52,808,296,-128,Walking
29.56,856,288,-112,Walking
29.6,944,296,-168,Walking
29.64,992,288,-184,Walking
29.68,1072,272,-200,Walking
29.72,1128,272,-216,Walking
29.76,1048,304,-264,Walking
29.8,952,296,-256,Walking
29.84,968,248,-224,Walking
29.88,992,208,-216,Walking
29.92,960,208,-160,Walking
29.96,896,240,-136,Walking
30,840,264,-136,Walking
30.04,784,304,-144,Walking
30.08,808,288,-144,Walking
30.12,808,296,-192,Walking
30.16,832,296,-232,Walking
30.2,856,288,-248,Walking
30.24,912,280,-240,Walking
30.28,968,256,-248,Walking
30.32,1056,272,-192,Walking
30.36,1096,288,-176,Walking
30.4,1152,336,-144,Walking
30.44,1064,368,-88,Walking
30.48,928,384,-72,Walking
30.52,904,392,-80,Walking
30.56,952,416,-144,Walking
30.6,1064,400,-56,Walking
30.64,1048,360,-48,Walking
30.68,1000,328,-72,Walking
30.72,920,336,-72,Walking
30.76,848,376,-64,Walking
30.8,776,360,-72,Walking
30.84,736,312,-56,Walking
30.88,744,256,-120,Walking
30.92,752,224,-136,Walking
30.96,792,232,-160,Walking
31,856,248,-160,Walking
31.04,968,264,-160,Walking
31.08,1056,264,-216,Walking
31.12,1088,264,-312,Walking
31.16,952,280,-328,Walking
31.2,920,328,-320,Walking
31.24,960,272,-296,Walking
31.28,984,224,-288,Walking
31.32,960,232,-272,Walking
31.36,888,280,-248,Walking
31.4,848,312,-272,Walking
31.44,848,272,-280,Walking
31.48,880,240,-256,Walking
31.52,912,232,-280,Walking
31.56,944,224,-208,Walking
31.6,936,240,-200,Walking
31.64,944,240,-192,Walking
31.68,944,248,-128,Walking
31.72,936,272,-72,Walking
31.76,944,296,-88,Walking
31.8,992,344,-88,Walking
31.84,1048,384,-56,Walking
31.88,1072,416,-56,Walking
31.92,1008,408,-56,Walking
31.96,936,392,-32,Walking
32,952,408,-64,Walking
32.04,992,384,-48,Walking
32.08,1008,360,-96,Walking
32.12,960,304,-184,Walking
32.16,896,248,-160,Walking
32.2,840,248,-320,Walking
32.24,768,232,-272,Walking
32.28,720,224,-280,Walking
32.32,744,216,-264,Walking
32.36,784,208,-256,Walking
32.4,856,216,-208,Walking
32.44,888,232,-224,Walking
32.48,968,256,-176,Walking
32.52,984,264,-184,Walking
32.56,1024,304,-224,Walking
32.6,968,328,-240,Walking
32.64,880,312,-264,Walking
32.68,920,256,-224,Walking
32.72,952,224,-240,Walking
32.76,968,224,-192,Walking
32.8,920,264,-144,Walking
32.84,856,336,-208,Walking
32.88,784,368,-224,Walking
32.92,776,392,-272,Walking
32.96,784,360,-352,Walking
33,824,320,-352,Walking
33.04,880,320,-408,Walking
33.08,952,328,-384,Walking
33.12,992,304,-336,Walking
33.16,1040,280,-288,Walking
33.2,1064,312,-256,Walking
33.24,1088,352,-192,Walking
33.28,1048,376,-144,Walking
33.32,960,344,-88,Walking
33.36,976,344,-104,Walking
33.4,984,328,-88,Walking
33.44,1016,280,-80,Walking
33.48,960,232,-88,Walking
33.52,904,216,-112,Walking
33.56,848,232,-104,Walking
33.6,760,248,-136,Walking
33.64,696,240,-152,Walking
33.68,712,216,-160,Walking
33.72,784,232,-200,Walking
33.76,832,248,-216,Walking
33.8,896,296,-240,Walking
33.84,1008,352,-192,Walking
33.88,1120,376,-264,Walking
33.92,1160,384,-312,Walking
33.96,1040,376,-344,Walking
34,904,312,-248,Walking
34.04,888,272,-248,Walking
34.08,904,240,-208,Walking
34.12,912,256,-128,Walking
34.16,872,304,-256,Walking
34.2,800,312,-200,Walking
34.24,720,320,-248,Walking
34.28,680,312,-288,Walking
34.32,656,272,-288,Walking
34.36,704,280,-312,Walking
34.4,792,288,-304,Walking
34.44,856,304,-336,Walking
34.48,1024,240,-32,Walking
34.52,-8,512,184,Walking
34.56,728,320,-1704,Walking
